,ID,Primary Type,Community Area,Year,Latitude,Longitude,FIPS,Tract,Block
232263,7721227,NARCOTICS,63.0,2010,41.78901918,-87.7046531,170316309001014,630900,1014
214627,7409981,NARCOTICS,30.0,2010,41.85437045,-87.69553071,170318407003002,840700,3002
191486,7700553,MOTOR VEHICLE THEFT,23.0,2010,41.91166868,-87.72923078,170312305001007,230500,1007
258010,7577169,OTHER OFFENSE,38.0,2010,41.81413812,-87.61972436,170318358001009,835800,1009
193014,7759197,MOTOR VEHICLE THEFT,11.0,2010,41.96939856,-87.78436613,170311103005020,110300,5020
341747,7629853,THEFT,15.0,2010,41.96500904,-87.75826791,170311503001010,150300,1010
107602,7649430,BURGLARY,64.0,2010,41.77738011,-87.79711181,170316404002056,640400,2056
139922,7377521,CRIMINAL DAMAGE,15.0,2010,41.9423977,-87.75301276,170311510011006,151001,1006
331097,7670440,THEFT,6.0,2010,41.93859561,-87.64957603,170310630001000,063000,1000
329450,7594492,THEFT,60.0,2010,41.84120804,-87.64635679,170318402001043,840200,1043
253146,7410462,OTHER OFFENSE,25.0,2010,41.92190758,-87.80435111,170312505006005,250500,6005
129762,7460361,CRIMINAL DAMAGE,4.0,2010,41.968566100000004,-87.69452891,170310402013014,040201,3014
43247,7591087,BATTERY,22.0,2010,41.92420221,-87.70230619,170312212002000,221200,2000
128534,7849181,CRIMINAL DAMAGE,4.0,2010,41.973009000000005,-87.69011206,170310402011011,040201,1011
35950,7582186,BATTERY,42.0,2010,41.77421118,-87.59065551,170318439002012,843900,2012
98916,7678365,BURGLARY,65.0,2010,41.7751459,-87.71409317,170316503022005,650302,2005
227021,7708044,NARCOTICS,25.0,2010,41.88572096,-87.74705515,170312518004004,251800,4004
235697,7778308,NARCOTICS,66.0,2010,41.77146525,-87.68465115,170316609001002,660900,1002
76259,7508068,BATTERY,69.0,2010,41.75964005,-87.61149166,170316909003008,690900,3008
166632,7406398,DECEPTIVE PRACTICE,32.0,2010,41.87778814,-87.6276678,170313204001035,320400,1035
146470,7724788,CRIMINAL DAMAGE,42.0,2010,41.77628985,-87.59297421,170318344002004,834400,2004
121307,7551953,CRIMINAL DAMAGE,23.0,2010,41.90145703,-87.72139268,170312312004006,231200,4006
262765,7839527,OTHER OFFENSE,2.0,2010,41.99836677,-87.68015186,170310205001001,020500,1001
53758,7505596,BATTERY,21.0,2010,41.93364205,-87.72513515,170312105023001,210502,3001
314496,7555560,THEFT,7.0,2010,41.92159507,-87.66682915,170318325001012,832500,1012
125767,7647262,CRIMINAL DAMAGE,43.0,2010,41.76428273,-87.58101621,170314305002006,430500,2006
27699,7723515,BATTERY,68.0,2010,41.78524237,-87.63923256,170318346002010,834600,2010
137823,7722988,CRIMINAL DAMAGE,14.0,2010,41.96902279,-87.73973549,170311404004016,140400,4016
158448,7458489,CRIMINAL TRESPASS,24.0,2010,41.90220087,-87.67478901,170312422001001,242200,1001
333413,7549243,THEFT,23.0,2010,41.91186491,-87.71251262,170312302001010,230200,1010
203218,7681400,NARCOTICS,32.0,2010,41.88588808,-87.62794224,170313201002023,320100,2023
195439,7692414,MOTOR VEHICLE THEFT,66.0,2010,41.78205887,-87.70200789,170316603022012,660302,2012
320973,7781865,THEFT,24.0,2010,41.91134081,-87.67939764,170312405001026,240500,1026
233785,7373909,NARCOTICS,42.0,2010,41.7817763,-87.60596006,170314205002007,420500,2007
188549,7579437,MOTOR VEHICLE THEFT,21.0,2010,41.93755968,-87.69906147,170312108001007,210800,1007
177293,7606481,DECEPTIVE PRACTICE,72.0,2010,41.70752395,-87.66900829,170317202003042,720200,3042
356504,7686544,THEFT,66.0,2010,41.76359029,-87.69911733,170316611003008,661100,3008
290758,7429250,THEFT,32.0,2010,41.88253954,-87.62785054,170318391001075,839100,1075
173365,7711395,DECEPTIVE PRACTICE,14.0,2010,41.96586076,-87.70105322,170311408005026,140800,5026
136457,7398275,CRIMINAL DAMAGE,30.0,2010,41.84421818,-87.72722694,170313018021016,301802,1016
202582,7865447,NARCOTICS,49.0,2010,41.72167266,-87.62785835,170318340002033,834000,2033
227436,7524456,NARCOTICS,25.0,2010,41.87855864,-87.74816347,170312522022001,252202,2001
363151,7605722,THEFT,49.0,2010,41.7226745,-87.61900098,170314903001024,490300,1024
305191,7671033,THEFT,3.0,2010,41.95591919,-87.65039088,170310321005000,032100,5000
369392,7375710,WEAPONS VIOLATION,67.0,2010,41.76591285,-87.66020273,170316716002011,671600,2011
350061,7709967,THEFT,68.0,2010,41.78618225,-87.63763840000001,170318346002004,834600,2004
353975,7843543,THEFT,12.0,2010,41.99886758,-87.75947887,170311202002002,120200,2002
47587,7389509,BATTERY,35.0,2010,41.83981621,-87.61751617,170318392001006,839200,1006
127999,7804518,CRIMINAL DAMAGE,24.0,2010,41.89144394,-87.68306035,170312429002007,242900,2007
101654,7617003,BURGLARY,39.0,2010,41.80710156,-87.59921813,170313905001004,390500,1004
269265,7809833,PROSTITUTION,19.0,2010,41.93540928,-87.74675098,170311902002010,190200,2010
103730,7319479,BURGLARY,40.0,2010,41.79209069,-87.62239655,170314005001013,400500,1013
216558,7511607,NARCOTICS,22.0,2010,41.91573032,-87.69084185,170318324002006,832400,2006
203206,7671865,NARCOTICS,49.0,2010,41.70709717,-87.62868791,170314907003026,490700,3026
300487,7619012,THEFT,28.0,2010,41.88058568,-87.64002307,170312819003003,281900,3003
201059,7585234,NARCOTICS,25.0,2010,41.88137709,-87.75631935,170312519002024,251900,2024
207870,7299131,NARCOTICS,23.0,2010,41.89826075,-87.71640569,170312312002000,231200,2000
108445,7682501,BURGLARY,68.0,2010,41.76062537,-87.64550895,170316814003002,681400,3002
361273,7302920,THEFT,44.0,2010,41.73926587,-87.60489375,170314401022005,440102,2005
216351,7860264,NARCOTICS,43.0,2010,41.75900902,-87.56455889,170314313022004,431302,2004
306862,7705492,THEFT,8.0,2010,41.89973405,-87.62414238,170310813003000,081300,3000
169041,7485592,DECEPTIVE PRACTICE,8.0,2010,41.90860635,-87.62595452,170310801005007,080100,5007
13775,7521036,ASSAULT,63.0,2010,41.79881359,-87.68783748,170316305001014,630500,1014
230179,7330045,NARCOTICS,25.0,2010,41.88228139,-87.76209864,170312519004002,251900,4002
239752,7396812,NARCOTICS,71.0,2010,41.74806735,-87.64274802,170317109001014,710900,1014
68667,7546446,BATTERY,42.0,2010,41.7817198,-87.59623356,170314203001009,420300,1009
39425,7329522,BATTERY,24.0,2010,41.8908932,-87.67263177,170312431002010,243100,2010
127174,7491676,CRIMINAL DAMAGE,22.0,2010,41.92013865,-87.67648589,170318323001058,832300,1058
141481,7694433,CRIMINAL DAMAGE,10.0,2010,41.977274200000004,-87.81198405,170311005003002,100500,3002
79605,7351944,BATTERY,44.0,2010,41.74873943,-87.60147387,170314401011007,440101,1007
54894,7388524,BATTERY,26.0,2010,41.87882529,-87.72917301,170312607001009,260700,1009
226632,7395551,NARCOTICS,25.0,2010,41.87949607,-87.74579746,170312522024002,252202,4002
225511,7696008,NARCOTICS,3.0,2010,41.96473733,-87.65705126,170318307004004,830700,4004
281302,7732486,ROBBERY,22.0,2010,41.91723617,-87.72083779,170312209011009,220901,1009
322566,7404040,THEFT,7.0,2010,41.92234131,-87.66443662,170318325001025,832500,1025
28233,7541679,BATTERY,44.0,2010,41.72656096,-87.60812913,170314409002007,440900,2007
322885,7599031,THEFT,24.0,2010,41.89673763,-87.68258425,170312424002021,242400,2021
281594,7836897,ROBBERY,26.0,2010,41.88538467,-87.72409839,170312601001001,260100,1001
28502,7717073,BATTERY,23.0,2010,41.89265544,-87.71867067,170312315004011,231500,4011
192521,7801530,MOTOR VEHICLE THEFT,25.0,2010,41.87413151,-87.74321027,170312522023019,252202,3019
144992,7490977,CRIMINAL DAMAGE,42.0,2010,41.78133774,-87.61082672,170314206002007,420600,2007
153146,7476949,CRIMINAL DAMAGE,49.0,2010,41.72471184,-87.61784648,170314903001007,490300,1007
56788,7493435,BATTERY,16.0,2010,41.96263202,-87.74036105,170311601001016,160100,1016
281214,7839677,ROBBERY,23.0,2010,41.9027494,-87.71725512,170312312001000,231200,1000
85529,7557710,BATTERY,49.0,2010,41.69147595,-87.6210378,170314914002004,491400,2004
102883,7306133,BURGLARY,40.0,2010,41.79731758,-87.62091219,170314003001009,400300,1009
81060,7753864,BATTERY,71.0,2010,41.74263324,-87.65838662,170317111003002,711100,3002
342539,7618681,THEFT,4.0,2010,41.96743038,-87.68238375,170310406001004,040600,1004
365721,7784469,THEFT,75.0,2010,41.68200104,-87.68329908,170317504002013,750400,2013
233975,7666734,NARCOTICS,66.0,2010,41.78023742,-87.68733453,170318350002006,835000,2006
19929,7823964,ASSAULT,46.0,2010,41.74035015,-87.55512656,170314603011005,460301,1005
93684,7849184,BURGLARY,29.0,2010,41.85444912,-87.72108116,170312924001010,292400,1010
341498,7458198,THEFT,15.0,2010,41.95347181,-87.74355244,170318317001013,831700,1013
249947,7582221,OTHER OFFENSE,71.0,2010,41.74870164,-87.65200164,170317108005012,710800,5012
158834,7408511,CRIMINAL TRESPASS,28.0,2010,41.86482292,-87.65661841,170312838001005,283800,1005
23757,7530893,BATTERY,34.0,2010,41.8528683,-87.63091491,170318411004001,841100,4001
266682,7314749,OTHER OFFENSE,47.0,2010,41.72493773,-87.59243211,170314701002044,470100,2044
173516,7341025,DECEPTIVE PRACTICE,25.0,2010,41.8866684,-87.74611368,170312518004000,251800,4000
236944,7860393,NARCOTICS,69.0,2010,41.76512359,-87.621679,170316910004001,691000,4001
180706,7363846,LIQUOR LAW VIOLATION,31.0,2010,41.85390661,-87.68182933,170318412001005,841200,1005
201382,7726095,NARCOTICS,49.0,2010,41.70713963,-87.62532552,170314907002017,490700,2017
78932,7402745,BATTERY,71.0,2010,41.74972411,-87.64765555,170317108004011,710800,4011
302537,7862204,THEFT,8.0,2010,41.89601097,-87.62427907,170310815002000,081500,2000
293470,7356424,THEFT,25.0,2010,41.87846345,-87.76805926,170312521011018,252101,1018
60203,7715329,BATTERY,25.0,2010,41.8895369,-87.74895207,170312516002009,251600,2009
256256,7307252,OTHER OFFENSE,35.0,2010,41.82875546,-87.62171217,170318396002006,839600,2006
264263,7614831,OTHER OFFENSE,66.0,2010,41.76233778,-87.68807491,170316610004015,661000,4015
108278,7823906,BURGLARY,17.0,2010,41.945184600000005,-87.81105093,170311704002016,170400,2016
137505,7822748,CRIMINAL DAMAGE,58.0,2010,41.81322601,-87.69313284,170315806004012,580600,4012
306617,7483406,THEFT,7.0,2010,41.91811487,-87.65270473,170310711002020,071100,2020
78643,7719204,BATTERY,71.0,2010,41.75157693,-87.66590097,170317104002007,710400,2007
197838,7558186,MOTOR VEHICLE THEFT,69.0,2010,41.75214973,-87.60522452,170316915003005,691500,3005
345997,7598533,THEFT,62.0,2010,41.79812648,-87.72330090000001,170316202001000,620200,1000
13686,7299750,ASSAULT,15.0,2010,41.94599133,-87.75765956,170311511001000,151100,1000
166257,7873481,DECEPTIVE PRACTICE,32.0,2010,41.88681742,-87.63136945,170318391001017,839100,1017
329387,7547130,THEFT,21.0,2010,41.9344453,-87.71471197,170312106023007,210602,3007
1220,7622384,ASSAULT,69.0,2010,41.76740714,-87.62128353,170316904003001,690400,3001
223142,7776238,NARCOTICS,16.0,2010,41.95437329,-87.70803053,170311605022015,160502,2015
109634,7758640,BURGLARY,43.0,2010,41.75308542,-87.55700306,170314313011004,431301,1004
232420,7375917,NARCOTICS,25.0,2010,41.88715605,-87.77061215,170312520004000,252000,4000
229540,7759253,NARCOTICS,25.0,2010,41.89004597,-87.75628174,170312515002007,251500,2007
80517,7437172,BATTERY,44.0,2010,41.74481864,-87.60505818,170314402021000,440202,1000
47779,7523170,BATTERY,19.0,2010,41.93565529,-87.74548809999999,170311901001016,190100,1016
328605,7540403,THEFT,21.0,2010,41.93248218,-87.71299997,170312106022009,210602,2009
266157,7734023,OTHER OFFENSE,44.0,2010,41.73951397,-87.60247633,170314401022002,440102,2002
214996,7401571,NARCOTICS,22.0,2010,41.91982371,-87.70705253,170312212001007,221200,1007
