,Year,Business Type,Business Name,Address,Has Tobacco License,Has Liquor License,Crime Type,#Crimes,#Arrests,#OnPremises
123,2004,grocery store,KARAD CONVENIENCE,333 W WACKER DR 1ST,FALSE,FALSE,THEFT,1,0,0
124,2016,grocery store,ORIENTAL KITCHEN CORP,223 N JUSTINE ST  1,FALSE,FALSE,OFFENSE INVOLVING CHILDREN,1,0,0
125,2007,restaurant,COBRA LOUNGE / ALL RISE BREWING CO.,235 N ASHLAND AVE 1,FALSE,TRUE,ARSON,1,0,0
126,2010,restaurant,COBRA LOUNGE / ALL RISE BREWING CO.,235 N ASHLAND AVE 1,FALSE,TRUE,BURGLARY,1,0,0
127,2006,restaurant,COBRA LOUNGE / ALL RISE BREWING CO.,235 N ASHLAND AVE 1,FALSE,TRUE,CRIMINAL DAMAGE,1,0,0
128,2015,restaurant,COBRA LOUNGE / ALL RISE BREWING CO.,235 N ASHLAND AVE 1,FALSE,TRUE,DECEPTIVE PRACTICE,1,0,0
129,2008,restaurant,COBRA LOUNGE / ALL RISE BREWING CO.,235 N ASHLAND AVE 1,FALSE,TRUE,NARCOTICS,1,1,0
130,2011,restaurant,COBRA LOUNGE / ALL RISE BREWING CO.,235 N ASHLAND AVE 1,FALSE,TRUE,NARCOTICS,1,1,0
131,2014,restaurant,COBRA LOUNGE / ALL RISE BREWING CO.,235 N ASHLAND AVE 1,FALSE,TRUE,NARCOTICS,1,1,0
132,2003,restaurant,COBRA LOUNGE / ALL RISE BREWING CO.,235 N ASHLAND AVE 1,FALSE,TRUE,SEX OFFENSE,1,1,0
133,2008,restaurant,COBRA LOUNGE / ALL RISE BREWING CO.,235 N ASHLAND AVE 1,FALSE,TRUE,THEFT,1,0,0
134,2015,restaurant,COBRA LOUNGE / ALL RISE BREWING CO.,235 N ASHLAND AVE 1,FALSE,TRUE,THEFT,1,1,0
135,2015,grocery store,DENNIS WHOLESALE FOOD INC,1215 W FULTON MARKET,FALSE,FALSE,ASSAULT,1,0,0
136,2008,restaurant,CAFFE BACI,225 W WACKER DR 1ST,FALSE,TRUE,ASSAULT,1,0,0
137,2014,restaurant,CAFFE BACI,225 W WACKER DR 1ST,FALSE,TRUE,THEFT,1,0,0
138,2010,restaurant,SIMPLY ELEGANT CATERING,35 W WACKER DR  21ST,FALSE,TRUE,MOTOR VEHICLE THEFT,1,0,0
139,2014,grocery store,1154 FULTON MARKET,1154 W FULTON MARKET ST 1ST,FALSE,FALSE,BURGLARY,1,0,0
140,2006,grocery store,DAILY MEAT SUPPLY INC,948 W FULTON MARKET,FALSE,FALSE,PROSTITUTION,1,1,0
141,2006,grocery store,L ISAACSON STEIN FISH CO INC,800 W FULTON MARKET,FALSE,FALSE,ROBBERY,1,0,0
142,2016,grocery store,CASPER FOOD SERVICE,310 N GREEN ST  1ST,FALSE,FALSE,BATTERY,1,0,0
143,2003,grocery store,BLUE PLATE CATERING LTD.,333 N OGDEN AVE 1,FALSE,FALSE,LIQUOR LAW VIOLATION,1,1,0
144,2002,grocery store,COUGLE COMMISSION CO,345 N ABERDEEN ST,FALSE,FALSE,BATTERY,1,1,0
145,2017,grocery store,COUGLE COMMISSION CO,345 N ABERDEEN ST,FALSE,FALSE,BURGLARY,1,0,0
146,2013,grocery store,COUGLE COMMISSION CO,345 N ABERDEEN ST,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
147,2012,grocery store,COUGLE COMMISSION CO,345 N ABERDEEN ST,FALSE,FALSE,ROBBERY,1,0,0
148,2002,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,ASSAULT,1,0,0
149,2005,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,ASSAULT,1,1,0
150,2009,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,ASSAULT,2,1,0
151,2014,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,ASSAULT,1,0,0
152,2002,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,BATTERY,1,0,0
153,2003,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,BATTERY,4,1,0
154,2004,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,BATTERY,1,0,0
155,2005,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,BATTERY,1,0,0
156,2006,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,BATTERY,1,0,0
157,2009,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,BATTERY,1,1,0
158,2011,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,BATTERY,1,0,0
159,2012,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,BATTERY,1,0,0
160,2015,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,BATTERY,1,0,0
161,2016,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,BATTERY,2,1,0
162,2017,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,BATTERY,1,1,0
163,2004,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,BURGLARY,1,0,0
164,2007,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,BURGLARY,1,0,0
165,2015,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,BURGLARY,1,0,0
166,2004,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
167,2005,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
168,2007,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
169,2009,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
170,2011,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
171,2013,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
172,2017,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
173,2003,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,CRIMINAL TRESPASS,1,1,0
174,2008,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,DECEPTIVE PRACTICE,1,0,0
175,2004,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,HOMICIDE,1,0,0
176,2014,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,HOMICIDE,1,0,0
177,2003,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,MOTOR VEHICLE THEFT,3,0,0
178,2006,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,MOTOR VEHICLE THEFT,1,0,0
179,2011,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,MOTOR VEHICLE THEFT,1,0,0
180,2013,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,MOTOR VEHICLE THEFT,1,0,0
181,2014,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,MOTOR VEHICLE THEFT,1,0,0
