,ID,Primary Type,Arrest,Community Area,Year,Latitude,Longitude,FIPS,Tract,Block
3605912,2554618,BATTERY,True,15.0,2003,41.940515745999996,-87.757488279,170311511002009,151100,2009
1384969,8609954,ASSAULT,False,65.0,2012,41.774162092,-87.718952805,170316503022009,650302,2009
50559,10095045,NARCOTICS,True,23.0,2015,41.895868773000004,-87.721207281,170312312003012,231200,3012
5739897,6649200,CRIMINAL DAMAGE,False,70.0,2008,41.751136765,-87.724508269,170317002004002,700200,4002
665008,11257050,CRIMINAL DAMAGE,False,40.0,2018,41.791738857,-87.60825667700001,170314003001027,400300,1027
3871462,10964509,BATTERY,False,43.0,2017,41.764273074,-87.582057311,170314305002003,430500,2003
4433159,3796199,NARCOTICS,True,67.0,2004,41.785891645999996,-87.654662395,170316709001003,670900,1003
3474708,2347569,ARSON,True,67.0,2002,41.780665583,-87.658229926,170316709002019,670900,2019
1750545,6489611,NARCOTICS,True,50.0,2008,41.707519433,-87.601839023,170315002001000,500200,1000
1754950,6515710,OTHER OFFENSE,True,2.0,2008,41.998440216999995,-87.702110393,170310206012014,020601,2014
1031745,7288264,CRIMINAL DAMAGE,False,69.0,2009,41.761023004,-87.626470855,170316911001022,691100,1022
532611,11004195,CRIMINAL DAMAGE,False,56.0,2017,41.804911366,-87.74186161899999,170315604001014,560400,1014
2283239,8062906,BATTERY,False,72.0,2011,41.706687206,-87.662912005,170317202003038,720200,3038
4037642,3139483,ASSAULT,True,66.0,2004,41.782120436,-87.703224562,170316603022013,660302,2013
3365162,2168977,BURGLARY,False,25.0,2002,41.881665862,-87.75426400299999,170312518001007,251800,1007
3408722,2241028,BATTERY,True,66.0,2002,41.783757424,-87.683764609,170318350001009,835000,1009
354636,10659752,ASSAULT,False,61.0,2016,41.807551687,-87.67101660700001,170316114001003,611400,1003
1444798,4855374,NARCOTICS,True,73.0,2006,41.726197018,-87.655499816,170317302015000,730201,5000
4700665,4415221,OTHER OFFENSE,True,61.0,2005,41.819027613,-87.66521937799999,170316103001004,610300,1004
3876093,2910841,CRIMINAL DAMAGE,False,24.0,2003,41.909247001,-87.69451817299999,170312410002010,241000,2010
