Date,Mean Temperature,Max Temperature,Min Temperature,Heating Degree Days, Dew Point, Average Humidity, Max Humidity, Minimum Humidity, Precipitation, Sea Level Pressure, Average Wind Speed, Maximum Wind Speed, Visibility, Events
2001-05-12,47,57,39,18,34,60,86,39,0,30.28,N/A,15,10,
2001-05-13,54,68,39,12,33,51,89,25,0,30.27,N/A,9,10,
2001-05-14,54,66,44,11,46,69,86,43,0.12,30.06,N/A,22,9,Rain Thunderstorm
2001-05-15,72,88,57,0,62,64,84,43,0,29.72,N/A,15,10,
2001-05-16,76,89,64,0,63,69,90,28,0.16,29.62,N/A,14,8,Rain Thunderstorm
2001-05-17,73,84,62,0,62,70,93,43,0.03,29.73,N/A,10,8,Rain Thunderstorm
2001-05-18,66,80,57,0,41,40,59,33,0,29.87,N/A,17,10,
2001-05-19,62,73,48,2,41,48,80,30,0,29.93,N/A,12,10,
2001-05-20,62,77,48,4,48,53,80,34,0,29.76,N/A,18,10,
2001-05-21,62,70,55,3,60,84,96,56,0.16,29.48,N/A,21,6,Rain
2001-05-22,53,66,46,12,42,70,89,46,0.07,29.69,N/A,25,10,Rain Thunderstorm
2001-05-23,53,63,44,12,43,75,93,52,0.06,29.67,N/A,20,10,Rain
2001-05-24,52,60,44,14,46,84,100,58,0.16,29.74,N/A,12,8,Rain Thunderstorm
2001-05-25,50,59,44,14,45,84,100,49,0.07,29.8,N/A,12,8,Rain Thunderstorm
2001-05-26,47,57,39,18,44,83,100,41,0.79,29.66,N/A,20,7,Rain
2001-05-27,54,61,48,11,49,85,96,67,0.17,29.74,N/A,16,8,Rain
2001-05-28,58,66,51,6,52,77,97,57,0.09,29.92,N/A,10,9,Rain Thunderstorm
2001-05-29,53,62,44,12,44,69,97,39,0,30.09,N/A,20,10,
2001-05-30,52,60,45,13,35,54,80,36,0,30.19,N/A,14,10,
2001-05-31,54,62,48,10,46,78,96,48,0.35,29.9,N/A,18,7,Rain
2001-06-01,56,64,48,9,49,85,100,56,0.52,29.6,N/A,14,7,Rain Thunderstorm
2001-06-02,52,55,50,12,48,85,96,67,0.03,29.56,N/A,21,10,Rain
2001-06-03,52,55,48,14,45,78,87,72,0,29.87,N/A,14,10,
2001-06-04,50,55,46,14,44,81,93,69,0,30.05,N/A,15,10,
2001-06-05,52,57,46,14,51,96,100,86,0.63,30.04,N/A,20,4,Fog Rain Thunderstorm
2001-06-06,56,62,51,8,54,97,100,84,0.01,30.05,N/A,9,2,Fog Rain
2001-06-07,60,68,52,6,53,80,97,63,0,30.06,N/A,9,9,
2001-06-08,60,73,48,4,51,73,100,47,0,30.06,N/A,10,8,
2001-06-09,65,81,50,0,55,67,100,43,0,29.98,N/A,9,10,
2001-06-10,74,82,66,0,61,62,76,47,0,29.81,N/A,20,10,
2001-06-11,78,87,68,0,66,68,90,48,0,29.77,N/A,28,10,Rain Thunderstorm
2001-06-12,74,86,63,0,65,84,100,49,0.51,29.82,N/A,32,9,Rain Thunderstorm
2001-06-13,80,91,68,0,69,70,100,52,0,29.81,N/A,18,8,
2001-06-14,80,91,69,0,68,68,93,48,0.31,29.84,N/A,25,9,Rain Thunderstorm
2001-06-15,70,77,64,0,62,75,96,51,0.04,29.84,N/A,16,10,
2001-06-16,70,86,55,0,57,61,93,43,0,30.05,N/A,16,10,
2001-06-17,71,87,55,0,56,58,96,32,0.05,30.13,N/A,17,9,Rain Thunderstorm
2001-06-18,78,91,64,0,62,62,100,30,0.35,30.01,N/A,21,9,Rain Thunderstorm
2001-06-19,74,84,66,0,62,61,68,47,0.02,30.06,N/A,18,10,Rain
2001-06-20,70,75,64,0,53,58,75,44,0,30.19,N/A,10,10,
2001-06-21,64,69,59,1,55,75,96,53,0.17,30.06,N/A,12,8,Rain
2001-06-22,60,69,52,5,54,83,100,66,0.02,30.04,N/A,13,9,Rain
2001-06-23,62,73,51,3,53,72,100,46,0,30.1,N/A,12,9,
2001-06-24,66,81,51,0,55,68,100,39,0,30.17,N/A,12,9,
2001-06-25,72,84,59,0,59,63,93,41,0,30.2,N/A,12,10,
2001-06-26,74,86,63,0,58,56,87,36,0,30.23,N/A,13,10,
2001-06-27,75,87,63,0,61,61,90,38,0,30.26,N/A,10,10,
2001-06-28,74,86,63,0,63,66,97,41,0,30.18,N/A,10,8,
2001-06-29,76,87,66,0,64,64,87,46,0,30.04,N/A,13,9,
