name,address,rating_y
Kamehachi,311 S Wacker ,3.1538461538461537
Hertz Rent A Car,181 W Washington ,5.0
Berry Chill,225 N Michigan ,5.0
Old St Mary's Church,1500 S Michigan ,4.0
Park One,711 S ,4.0
Globe Bar at the Hard Rock Hotel,230 N. Michigan ,4.0
Edible Arrangements,1239 S Michigan ,5.0
Carmi's Crown Barber Shop,200 E Randolph ,5.0
Chicago Yacht Club,400 E Monroe ,3.75
Marcus Dental Practice,111 N Wabash ,5.0
Lavazza Cafe,111 W Jackson ,4.0
Riviera Health Club,400 E Randolph ,4.0
311 S Wacker Dr,311 S Wacker ,4.75
Monk's Pub,205 W Lake ,3.484375
Coulsons Music Matters,77 E Van Buren ,5.0
The Cloud Gate aka the 'Bean',Millennium Park 201 E Randolph ,4.4848484848484835
Which Wich Superior Sandwiches,108 N ,3.7142857142857135
Frank's Barber Shop,56 W Van Buren ,3.6666666666666665
Pret A Manger,211 W Adams ,3.9117647058823533
Go Sailing Chicago,400 E Monroe ,5.0
Jackson Wabash,200 S Michigan ,5.0
Fitness Formula Clubs,1151 S ,3.363636363636364
Concorde Printing & Copying,180 N ,5.0
Success Schools,214 S Wabash ,5.0
Opart Thai House,1906 S ,3.97979797979798
Pizza-Ria,719 S ,3.0
Mary Sears Children's Academy,1255 S ,1.0
Chase Tower,21 S Clark ,3.5
Christie's Restaurant,233 E Wacker ,3.5
Bombon,36 S Ashland ,3.0
Anna George Hair Salon,233 N Michigan ,3.272727272727273
Creative Circle,233 N Michigan ,1.6666666666666667
Time Out Chicago,247 S ,4.333333333333333
West Egg Cafe,66 E Washington ,2.0
PureBeauty Beauty Bar & Boutique,111 N ,5.0
Crocs,123 S ,3.0
Bert Green Fine Art,8 S Michigan ,4.0
Chicago Locksmith,212 W Randolph ,3.5
Exposure Restaurant & Lounge,1315 S Wabash ,3.0625
Metropolitan Club Fitness Center,233 S Wacker ,3.0
Young Ah Ri Law Office,33 N La Salle ,5.0
The Garden Restaurant,111 S Michigan ,3.0
French Quarter Restaurant,17 E Monroe ,4.0
"Christina Kromkowski,  DDS",150 N Wacker ,5.0
7-Eleven,600 S Dearborn ,2.5
Bank of America,2 S Michigan ,5.0
Bennigan's,225 N Michigan ,3.1
"Bongiorno Joseph A, MD",30 N Michigan ,5.0
Feeding America,35 E Wacker ,5.0
WUSN-FM/US99.5,2 Prudential ,4.0
"Krubeck Kimberly, DDS",25 E Washington ,5.0
Pizzahut Express,225 S Canal ,2.5
The South Loop Blues,666 S. Dearborn ,2.0
Second Glass Wine Riot,225 S Canal ,4.333333333333333
Benefit Brow Bar,111 N ,4.75
7 Eleven,535 S ,3.0
Urban East,420 E Waterside ,1.0
Dearborn Park,865 S Park Ter ,5.0
Oysy Japanese Sushi Restaurant,888 S Michigan ,3.278688524590164
Popeye's Famous Fried Chicken,201 N Clark ,4.0
Vivere,71 W Monroe ,3.333333333333333
Gino's East Sports Bar,521 S Dearborn ,3.7142857142857135
The Yelp Useful Button,777 Clickme ,1.0
Simply Greens,500 W Madison ,2.0
The Gap,70 W Madison ,3.6666666666666665
Millennium Park Medical Spa,122 S Michigan ,4.0
Love & Promise Jewelers,,4.0
Wow Bao,1 W Wacker ,3.7439024390243913
Indian Express,120 N Wells ,1.0
Crain's 10 Things To Do This Weekend,360 N. Michigan ,4.0
Protein Bar,10 S Clinton ,3.0
Bionda To Go,400 S Financial ,3.0
Exquisite Nail Boutique,17 N Wabash ,3.0
Ruby of Siam,170 W Washington ,3.6176470588235294
Prairie Avenue Bookshop,418 S Wabash ,4.666666666666667
Chicago Kernel Gourmet Popcorn,151 N Michigan ,4.0
The Vault,135 S La Salle ,3.2
Pet Particulars,1329 S Michigan ,5.0
Kingoberry Frozen Yogurt,555 S Dearborn ,3.6
Prudential Plaza,180 N ,4.5
Corner Bakery Cafe,120 S La Salle ,3.0
Friend-Whoring,The Internet ,1.0
Courtway Restaurant,29 S La Salle ,3.1428571428571432
Mon Ami Jewelry,23 N Wabash ,4.666666666666667
Pritzker Park,344 S ,2.5
L.A.T.E. Ride,55 E Washington ,3.6666666666666665
