License #,Rating Average Yelp,#Fail,#Pass,#PassW/Conditions
2158634,4.0,1,2,0
2188995,2.9,3,4,2
2189538,3.125,0,5,4
2211543,3.838709677419355,0,2,0
2215834,5.0,0,4,0
2262395,2.773109243697479,0,5,0
2262538,3.3947368421052633,5,4,3
2284736,2.5,0,2,1
2293075,4.037037037037037,1,6,0
2319805,4.2222222222222205,1,5,0
2320565,3.363636363636364,3,4,0
2334909,4.422680412371133,0,3,1
2341007,3.0,1,2,0
2355068,3.0,0,1,0
2362917,4.0,1,4,1
2384910,5.0,1,4,2
2384916,5.0,1,4,1
2391368,3.6666666666666665,0,3,2
2404389,3.75,1,3,2
2405943,2.6153846153846154,1,3,0
2418006,3.2,1,4,1
2419593,2.875,0,1,2
2423089,3.5,0,3,0
2437705,3.25,0,1,0
2442373,4.086956521739131,1,2,1
2458000,4.0,0,2,0
2458801,2.833333333333333,2,5,0
2464792,4.0,1,1,0
2476940,3.5063291139240507,4,3,0
2477303,3.9230769230769234,0,2,0
2488675,4.041666666666667,1,1,0
2517704,2.833333333333333,0,1,0
2517705,2.3125,0,2,0
2549801,4.333333333333333,0,1,0
2555780,3.7142857142857135,0,1,0
2560001,2.773109243697479,0,1,0
2570241,3.8461538461538463,0,1,0
2583464,3.4857142857142858,0,1,0
