Inspection ID,DBA Name,AKA Name,License #,Address,City,State,Zip,Inspection Date,Inspection Type,Results
1345481,BURRITO BEACH,BURRITO BEACH,66035,19 S LA SALLE ,CHICAGO,IL,60603,08/21/2013,Canvass,Pass
1114987,BURGER KING 19467,BURGER KING 19467,2283310,18 W JACKSON ,CHICAGO,IL,60604,08/21/2013,License,Pass
1345447,JASON'S DELI,JASON'S DELI,2129572,195 N DEARBORN ,CHICAGO,IL,60601,08/13/2013,Canvass Re-Inspection,Pass
1345474,PALM RESTAURANT,PALM RESTAURANT,1242,323 E WACKER ,CHICAGO,IL,60601,08/20/2013,Canvass,Pass
1114984,BAR LOUIE,BAR LOUIE,2026594,47 W POLK ,CHICAGO,IL,60605,08/20/2013,Canvass Re-Inspection,Pass
1345473,JIMMY JOHN'S - MICHIGAN,JIMMY JOHN'S - MICHIGAN,1933581,225 N MICHIGAN ,CHICAGO,IL,60601,08/20/2013,Canvass,Pass
1114982,PLYMOUTH RESTAURANT,PLYMOUTH RESTAURANT,1676129,327 S ,CHICAGO,IL,60604,08/20/2013,Canvass,Pass
1345472,TOAST IT,TOAST IT,2184032,201 N CLARK ,CHICAGO,IL,60601,08/20/2013,Canvass Re-Inspection,Pass
1324623,DUNKIN DONUTS,DUNKIN DONUTS,28011,2 N RIVERSIDE ,CHICAGO,IL,60606,08/20/2013,Complaint,Pass
1114981,THE SCOUT,THE SCOUT,2084171,1301 S WABASH ,CHICAGO,IL,60605,08/19/2013,Canvass,Pass
1345471,CORNER BAKERY CAFE,CORNER BAKERY CAFE,1649356,120 S LA SALLE ,CHICAGO,IL,60603,08/20/2013,Canvass,Pass
1360363,INDIA GARDEN ON HARRISON INC,,2279325,518 W HARRISON ,CHICAGO,IL,60607,08/19/2013,License Re-Inspection,Pass
1345470,COMFORT SUITES,COMFORT SUITES,1938588,320 N MICHIGAN ,CHICAGO,IL,60601,08/19/2013,Canvass,Pass
1345469,CHIPOTLE MEXICAN GRILL,CHIPOTLE MEXICAN GRILL,1122193,316 N MICHIGAN ,CHICAGO,IL,60601,08/19/2013,Canvass Re-Inspection,Pass
1114980,THAI SPOON,THAI SPOON,1646042,601 S WABASH ,CHICAGO,IL,60605,08/19/2013,Canvass Re-Inspection,Pass
1345468,PETTERINO'S,PETTERINO'S BANQUET/  DO RITE DONUTS,1069820,50 W RANDOLPH ,CHICAGO,IL,60601,08/19/2013,Canvass,Pass
1345467,PETTERINO'S,PETTERINO'S,1069817,150 N DEARBORN ,CHICAGO,IL,60601,08/19/2013,Canvass,Pass
1114979,JEWEL FOOD  STORE # 3345,JEWEL FOOD  STORE # 3345,1142451,1224 S WABASH ,CHICAGO,IL,60605,08/19/2013,Short Form Complaint,Pass w/ Conditions
